VIN_110,COUNTY,CITY,STATE,POSTAL_CODE,MODEL_YEAR,MAKE,MODEL,ELECTRIC_VEHICLE_TYPE,CLEAN_ALTERNATIVE_FUEL_VEHICLE_CAFV_ELIGIBILITY,ELECTRIC_RANGE,BASE_MSRP,LEGISLATIVE_DISTRICT,DOL_VEHICLE_ID,VEHICLE_LOCATION,ELECTRIC_UTILITY,2020_CENSUS_TRACT,Longitude,Latitude
5YJ3E1EB6K,KING,SEATTLE,WA,98178.0,2019,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),CLEAN ALTERNATIVE FUEL VEHICLE ELIGIBLE,220,0,37,101250425,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902.0,-122.23825,47.49461
5YJYGAEE5M,YAKIMA,SELAH,WA,98942.0,2021,TESLA,MODEL Y,BATTERY ELECTRIC VEHICLE (BEV),ELIGIBILITY UNKNOWN AS BATTERY RANGE HAS NOT BEEN RESEARCHED,0,0,15,224162858,POINT (-120.53145 46.65405),PACIFICORP,53077003100.0,-120.53145,46.65405
5YJSA1E65N,YAKIMA,GRANGER,WA,98932.0,2022,TESLA,MODEL S,BATTERY ELECTRIC VEHICLE (BEV),ELIGIBILITY UNKNOWN AS BATTERY RANGE HAS NOT BEEN RESEARCHED,0,0,15,187279214,POINT (-120.1871 46.33949),PACIFICORP,53077002104.0,-120.1871,46.33949
5YJ3E1EBXN,KING,BELLEVUE,WA,98004.0,2022,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),ELIGIBILITY UNKNOWN AS BATTERY RANGE HAS NOT BEEN RESEARCHED,0,0,41,219428079,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.0,-122.1872,47.61001
JM3KKEHA8S,THURSTON,YELM,WA,98597.0,2025,MAZDA,CX-90,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),NOT ELIGIBLE DUE TO LOW BATTERY RANGE,26,0,2,277791643,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412.0,-122.60735,46.94239
5YJSA1E45H,THURSTON,OLYMPIA,WA,98512.0,2017,TESLA,MODEL S,BATTERY ELECTRIC VEHICLE (BEV),CLEAN ALTERNATIVE FUEL VEHICLE ELIGIBLE,210,0,35,152371775,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821.0,-122.9131,47.01359
5YJ3E1EB6J,KING,BURIEN,WA,98166.0,2018,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),CLEAN ALTERNATIVE FUEL VEHICLE ELIGIBLE,215,0,34,278247826,POINT (-122.34134 47.46593),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027500.0,-122.34134,47.46593
1N4BZ1CP3K,SNOHOMISH,SNOHOMISH,WA,98290.0,2019,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),CLEAN ALTERNATIVE FUEL VEHICLE ELIGIBLE,150,0,39,113148129,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052203.0,-122.09305,47.91265
KM8K23AGXL,KING,SEATTLE,WA,98125.0,2020,HYUNDAI,KONA,BATTERY ELECTRIC VEHICLE (BEV),CLEAN ALTERNATIVE FUEL VEHICLE ELIGIBLE,258,0,46,145686754,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000101.0,-122.30253,47.72656
1N4AZ0CP2F,KING,BELLEVUE,WA,98006.0,2015,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),CLEAN ALTERNATIVE FUEL VEHICLE ELIGIBLE,84,0,41,268997830,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800.0,-122.12096,47.55584
